,name,url_x,description,score,short_url,url_y,latlon,address,latitude,longitude
58,ibis Styles Besançon,https://www.booking.com/hotel/fr/besancon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=04dba3325b4701d5&srepoch=1646176358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"[""Idéalement situé dans un parc, l'hôtel ibis Styles Besançon se trouve à 15 minutes à pied de la gare TGV et du centre de Besançon. "", '2 777 expériences vécues']","['7,9']",https://www.booking.com/hotel/fr/besancon.fr.html?aid=304142,https://www.booking.com/hotel/fr/besancon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=342d9aec72ac0237&srepoch=1641938523&from=searchresults,"47.25425346,6.02163970","22 bis Rue de Trey, 25000 Besançon, France",47.25425346,6.0216397
59,Doubs Hotel - Besançon Ecole Valentin,https://www.booking.com/hotel/fr/besanconecolevalentin.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=04dba3325b4701d5&srepoch=1646176358&from=searchresults#hotelTmpl,"[""Le Doubs Hotel - Besançon Ecole Valentin est un hôtel 3 étoiles avec terrasse situé à Besançon. Il bénéficie d'un salon commun et d'une connexion Wi-Fi gratuite. "", '752 expériences vécues']","['8,2']",https://www.booking.com/hotel/fr/besanconecolevalentin.fr.html?aid=304142,https://www.booking.com/hotel/fr/besanconecolevalentin.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=342d9aec72ac0237&srepoch=1641938523&from=searchresults,"47.27069957,5.99509656","58, Rue des Maisonnettes - RD 75, 25480 Besançon, France",47.27069957,5.99509656
60,Best Hotel Annecy,https://www.booking.com/hotel/fr/best-ha-tel-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=10d8a3322cde01eb&srepoch=1646176358&from=searchresults#hotelTmpl,"['Le Best Hôtel Annecy\xa0-\xa0Cran Gevrier est installé à seulement 3,5\xa0km du lac d’Annecy et à 4\xa0minutes de route du centre-ville d’Annecy. Il propose des chambres dotées d’une connexion Wi-Fi gratuite. ', '3 202 expériences vécues']","['7,9']",https://www.booking.com/hotel/fr/best-ha-tel-annecy.fr.html?aid=304142,https://www.booking.com/hotel/fr/best-ha-tel-annecy.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=6f239aed655d0146&srepoch=1641938523&from=searchresults,"45.90074937,6.10030085","138 rue des paquerettes Cran Gevrier, 74960 Annecy, France",45.90074937,6.10030085
61,Best Western Kemaris,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412526&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=882fa333cb4e001d&srepoch=1646176360&from=searchresults#hotelTmpl,"[""Alliant un environnement animé, de nombreux équipements et une ambiance chaleureuse, l'hôtel Best Western Kemaris présente une architecture typique du Pays basque. "", '2 054 expériences vécues']","['8,3']",https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?aid=304142,https://www.booking.com/hotel/fr/best-western-kemaris.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412526&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=dc249aee9f000007&srepoch=1641938525&from=searchresults,"43.47650270,-1.56245649","35 Avenue du Maréchal Joffre, 64200 Biarritz, France",43.4765027,-1.56245649
62,Best Western Plus Hotel Carlton Annecy,https://www.booking.com/hotel/fr/bestwesterncarlton.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=10d8a3322cde01eb&srepoch=1646176358&from=searchresults#hotelTmpl,"[""Le Best Western Carlton Annecy est installé dans le centre d'Annecy, aux portes de la ville médiévale. Le lac d'Annecy se trouve à 10 minutes à pied. "", '2 464 expériences vécues']","['8,3']",https://www.booking.com/hotel/fr/bestwesterncarlton.fr.html?aid=304142,https://www.booking.com/hotel/fr/bestwesterncarlton.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1407760&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=6f239aed655d0146&srepoch=1641938523&from=searchresults,"45.90034806,6.12239420","5 Rue des Glières, 74000 Annecy, France",45.90034806,6.1223942
63,Best Western Citadelle,https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=04dba3325b4701d5&srepoch=1646176358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"['Le Best Western Citadelle est situé dans le centre-ville historique de Besançon, à 5\xa0minutes à pied de la rivière Doubs et de la Citadelle. ', '1 513 expériences vécues']","['8,3']",https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?aid=304142,https://www.booking.com/hotel/fr/bestwesterncitadelle.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1412198&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=342d9aec72ac0237&srepoch=1641938523&from=searchresults,"47.23154100,6.02658033","13 rue du Général Lecourbe, 25000 Besançon, France",47.231541,6.02658033
64,Best Western Plus Le Donjon - Cœur de La Cité Médiévale,https://www.booking.com/hotel/fr/bestwesternledonjon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1416701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=0c20a333b0370008&srepoch=1646176360&from=searchresults#hotelTmpl,"['Situé au cœur de la cité médiévale de Carcassonne, le Best Western Plus Le Donjon - Cœur de La Cité Médiévale est entouré par les anciens remparts de la ville. ', '2 164 expériences vécues']","['8,4']",https://www.booking.com/hotel/fr/bestwesternledonjon.fr.html?aid=304142,https://www.booking.com/hotel/fr/bestwesternledonjon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1416701&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=bfcd9aed724b0014&srepoch=1641938524&from=searchresults,"43.20646420,2.36363366","2 Rue Du Comte Roger, La Cité, 11000 Carcassonne, France",43.2064642,2.36363366
65,Boscolo Lyon Hotel & Spa,https://www.booking.com/hotel/fr/boscolo-exedra-lyon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1448468&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=6771a332a40e01b5&srepoch=1646176358&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,"['Le Boscolo Lyon Hotel & Spa occupe un bâtiment historique de la presqu&#39;île de Lyon, sur les rives du Rhône, à 850\xa0mètres de l&#39;opéra national de Lyon. ', '1 624 expériences vécues']","['8,6']",https://www.booking.com/hotel/fr/boscolo-exedra-lyon.fr.html?aid=304142,https://www.booking.com/hotel/fr/boscolo-exedra-lyon.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1448468&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=ab2c9aed908700fa&srepoch=1641938523&from=searchresults,"45.76083300,4.83758900","11 Quai Jules Courmont, 2e arr., 69002 Lyon, France",45.760833,4.837589
66,HÔTEL C SUITES chambres spacieuses,https://www.booking.com/hotel/fr/c-suites.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1455068&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=4be3a333ffbe0168&srepoch=1646176359&from=searchresults#hotelTmpl,"['L’HÔTEL C SUITES chambres spacieuses est un complexe urbain installé à Nîmes, à seulement 3\xa0km des arènes. ', '2 497 expériences vécues']","['7,2']",https://www.booking.com/hotel/fr/c-suites.fr.html?aid=304142,https://www.booking.com/hotel/fr/c-suites.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1455068&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=54a19aedaaee00e4&srepoch=1641938524&from=searchresults,"43.81537700,4.34590500","152 rue claude nicolas ledoux, 30900 Nîmes, France",43.815377,4.345905
67,Hôtel Calm Lille,https://www.booking.com/hotel/fr/calm-lille.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1447079&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=a9d5a332589400b7&srepoch=1646176357&from=searchresults#hotelTmpl,"[""L'Hôtel Calm Lille est situé dans le centre-ville de Lille, à seulement 3 minutes à pied de la gare de Lille Flandres, ainsi qu'à 1 km du centre de conventions Grand Palais et de la salle de spectacle..."", '2 936 expériences vécues']","['7,8']",https://www.booking.com/hotel/fr/calm-lille.fr.html?aid=304142,https://www.booking.com/hotel/fr/calm-lille.fr.html?aid=304142&ucfs=1&arphpl=1&dest_id=-1447079&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=bd659aec0e9a0316&srepoch=1641938522&from=searchresults,"50.63528798,3.06970725","14, rue du Molinel, Centre de Lille, 59000 Lille, France",50.63528798,3.06970725
